date,temperature_2m_min,temperature_2m_max,temperature_2m_mean,windspeed_10m_max,windgusts_10m_max,shortwave_radiation_sum,precipitation_sum,WeatherSimple
2024-03-16,17.65744,32.095844,24.769863,17.508999999999975,34.66249999999998,26.162699999999973,0.10949999999999999,0
2024-03-17,17.758993,32.334297,24.909561,17.5205,35.85650000000004,26.22239999999999,0.144,0
2024-03-18,17.71317,33.286655,25.531637,18.075000000000024,36.28400000000011,26.273650000000035,0.10949999999999999,0
2024-03-19,17.71317,33.286655,25.531637,17.75250000000002,35.45350000000009,26.51000000000002,0.10949999999999999,0
2024-03-20,19.024982,33.31557,25.8404,17.876500000000025,33.85600000000003,26.202549999999952,0.25200000000000006,0
2024-03-21,18.990435,33.5822,26.135649,18.038500000000035,35.59300000000002,26.55434999999999,0.08049999999999999,0
2024-03-22,18.990435,33.5822,26.135649,18.065500000000032,35.91800000000001,26.551799999999993,0.04299999999999999,0
2024-03-23,19.103655,33.5822,26.135649,18.641000000000023,37.69099999999996,26.632249999999996,0.027999999999999997,0
2024-03-24,19.378414,34.036003,26.518644,19.143500000000014,39.01299999999998,25.775100000000002,0.0005,0
2024-03-25,19.327065,34.102898,26.633495,18.910499999999992,39.03849999999998,25.938200000000023,0.0,0
2024-03-26,19.327065,34.102898,26.633495,18.451999999999984,38.57799999999995,25.973750000000024,0.0,0
2024-03-27,19.590025,34.151188,26.633495,18.936999999999994,39.171500000000016,24.863900000000054,0.0,0
2024-03-28,19.861727,34.151188,26.993597,18.439499999999985,39.11499999999998,25.164249999999985,0.0,0
2024-03-29,19.861727,34.151188,26.993597,18.216999999999988,38.96849999999999,25.182099999999977,0.0,0
2024-03-30,20.75136,34.28172,27.400948,18.341499999999964,38.01450000000005,23.507749999999998,0.0030000000000000005,0
2024-03-31,20.664213,34.28172,27.32265,18.19449999999998,38.21450000000005,24.281549999999985,0.0005,0
2024-04-01,20.664213,34.28172,27.32265,18.434999999999977,38.557000000000045,24.28289999999999,0.0005,0
2024-04-02,20.805544,34.142582,27.280005,19.174499999999963,39.141000000000076,23.02554999999997,0.005,0
2024-04-03,20.851587,33.962112,27.280005,18.741999999999983,38.34700000000008,23.577449999999967,0.005,0
2024-04-04,20.806124,34.093967,27.280005,18.792499999999976,38.75650000000006,23.353649999999963,0.006499999999999999,0
2024-04-05,20.806124,34.093967,27.280005,18.790999999999976,38.41550000000005,23.42269999999996,0.013500000000000002,0
2024-04-06,20.214426,34.093967,27.25069,18.147499999999965,37.03050000000002,24.948249999999963,0.0015000000000000002,0
2024-04-07,20.284899,33.66094,26.749289,17.448999999999973,34.797500000000035,23.479549999999985,0.021499999999999995,0
2024-04-08,20.284899,33.66094,26.749289,17.377499999999976,34.88350000000003,23.47614999999999,0.018999999999999996,0
2024-04-09,20.297855,33.59337,26.177708,17.355500000000006,36.38900000000004,23.900699999999983,0.5499999999999998,0
2024-04-10,20.279697,33.673847,26.26378,17.231500000000008,36.14150000000001,23.96214999999998,0.024999999999999994,0
2024-04-11,20.500784,33.23822,26.388733,16.732500000000027,33.77350000000004,23.119449999999997,0.036500000000000005,0
2024-04-12,20.500784,33.23822,26.388733,16.73000000000003,33.51500000000005,23.077800000000007,0.0335,0
2024-04-13,20.447521,31.865574,25.127634,15.502500000000008,33.349000000000004,22.18830000000001,3.743999999999998,1
2024-04-14,19.948027,31.865574,25.127634,15.22600000000001,33.01700000000001,23.541800000000002,1.3809999999999991,0
2024-04-15,19.948027,31.865574,25.127634,14.741500000000013,32.414000000000016,23.5838,1.0595,0
2024-04-16,20.467653,32.730606,26.035448,14.563500000000003,31.213500000000014,23.6222,0.4839999999999998,0
2024-04-17,20.887314,32.730606,26.035448,14.632000000000007,31.476999999999975,23.780549999999995,1.0294999999999985,0
2024-04-18,20.887314,32.730606,26.035448,13.97749999999999,29.82849999999998,23.804249999999993,0.9629999999999989,0
