time,temperature_2m_min,temperature_2m_max,temperature_2m_mean,precipitation_sum,windspeed_10m_max,windgusts_10m_max,weathercode,shortwave_radiation_sum
2022-04-19,20.887314,32.730606,26.035448,3.604196,13.895808,33.037594,27.921032,22.207624
2022-04-20,20.887314,32.24847,25.741888,6.412258,13.895808,33.2457,36.359623,21.918472
2022-04-21,20.887314,31.911171,25.741888,6.4211707,13.409954,30.519781,43.753872,21.918472
2022-04-22,20.890026,31.911171,25.741888,6.2726717,13.650177,30.519781,42.359905,21.077755
2022-04-23,20.890026,31.911171,25.741888,6.2726717,13.650177,30.519781,42.359905,21.077755
2022-04-24,21.028116,31.832188,25.655981,9.14429,13.657901,29.08365,42.26058,21.077755
2022-04-25,21.028116,32.33019,26.074358,0.8552445,13.657901,29.08365,30.322353,22.020084
2022-04-26,21.028116,32.33019,26.074358,0.8552445,13.657901,29.08365,30.322353,22.020084
2022-04-27,21.028116,32.33019,26.114277,0.7103152,13.657901,29.08365,22.521452,22.020084
2022-04-28,21.028116,32.33019,26.144136,0.7103152,13.75076,29.359648,28.469019,22.097801
2022-04-29,21.028116,32.33019,26.144136,0.7103152,13.75076,29.359648,28.469019,22.097801
2022-04-30,20.98892,32.244965,26.158175,0.89255226,14.737413,30.68168,29.963634,21.856874
2022-05-01,20.98892,32.244965,26.15103,0.7875272,14.737413,29.94068,33.84638,21.856874
2022-05-02,21.205706,32.244965,26.358778,0.7969111,14.737413,29.613165,30.289352,22.237158
2022-05-03,21.205706,32.244965,26.358778,0.7969111,14.737413,29.613165,30.289352,22.237158
2022-05-04,21.199944,32.232796,26.39227,1.2238777,14.695063,29.556376,32.701214,22.270336
2022-05-05,21.09958,32.612915,26.764185,1.1696432,15.510336,30.837055,19.867828,22.270336
2022-05-06,21.09958,32.612915,26.764185,1.1696432,15.510336,30.837055,19.867828,22.270336
2022-05-07,21.272354,31.876678,26.385864,1.2182609,15.521569,31.899075,48.44662,21.18742
2022-05-08,21.307663,31.876678,26.237202,3.0538135,15.521569,31.899075,48.44662,21.18742
2022-05-09,21.192547,31.876678,26.222397,3.0601473,14.780884,30.311705,48.72307,21.371618
2022-05-10,21.192547,31.876678,26.222397,3.0601473,14.780884,30.311705,48.72307,21.371618
2022-05-11,21.192547,31.82784,26.09991,6.475743,15.022009,29.841507,48.72307,21.371618
2022-05-12,21.098867,30.81145,25.320953,4.064641,15.022009,29.720488,48.72307,21.37595
2022-05-13,21.098867,30.81145,25.320953,4.064641,15.022009,29.720488,48.72307,21.37595
2022-05-14,20.853071,30.81145,25.346123,4.088595,17.684284,38.857967,49.452293,21.37595
2022-05-15,20.853071,29.384691,24.170143,4.088595,17.684284,38.732723,49.452293,19.487164
2022-05-16,20.853071,29.384691,24.170143,4.088595,17.684284,38.732723,49.452293,19.487164
2022-05-17,20.818506,29.734632,24.48506,3.8005848,17.702639,38.47044,52.11727,21.089073
2022-05-18,20.818506,29.734632,24.620079,5.7343607,17.702639,38.80976,54.06295,21.089073
2022-05-19,20.7973,29.104164,24.091543,8.136771,16.784935,37.87763,58.189583,21.068531
2022-05-20,20.7973,29.104164,24.091543,8.136771,16.784935,37.87763,58.189583,21.068531
2022-05-21,20.626072,29.113462,24.057587,8.521575,16.888494,37.87763,51.10749,20.579674
2022-05-22,20.635235,29.154337,24.369646,1.4698355,16.791557,35.263924,50.722023,20.768105
2022-05-23,20.635235,29.154337,24.369646,1.4698355,16.791557,35.263924,50.722023,20.768105
2022-05-24,20.635235,29.51019,24.454428,1.3672826,18.273796,35.784756,35.144928,21.239914
2022-05-25,20.613699,29.254192,24.305326,2.5536437,18.273796,36.81031,39.61371,20.899193
2022-05-26,20.613699,29.254192,24.305326,2.5536437,18.273796,36.81031,39.61371,20.899193
2022-05-27,20.408934,29.526001,24.303158,2.3099837,18.273796,36.086685,27.006973,21.904226
2022-05-28,20.408934,30.043205,24.326334,3.6642208,17.92918,35.75181,29.45525,21.904226
2022-05-29,20.446726,30.043205,24.559748,3.069227,16.706253,35.75181,50.802467,21.904226
2022-05-30,20.446726,30.043205,24.559748,3.069227,16.706253,35.75181,50.802467,21.904226
2022-05-31,20.389755,30.292532,24.6913,6.388639,15.971764,35.478527,52.158333,21.184017
2022-06-01,20.360344,30.057505,24.400816,8.889158,15.089561,32.000324,55.77181,20.698786
